fraud,claim_amount
0,1691.09
0,921.04
0,2361.06
0,15046.0
0,3771.22
0,694.27
0,5399.81
0,2983.79
0,1281.9
0,840.45
0,1843.25
0,714.78
0,933.39
0,1828.3
0,1159.82
0,1650.0
0,2636.95
0,1571.93
0,9870.0
0,5107.23
0,3139.41
0,2309.91
0,2095.52
0,5527.77
0,1796.89
0,1879.0
0,4674.67
0,1108.31
0,1580.01
0,3800.18
0,689.62
0,2409.56
0,1036.0
0,1077.22
0,1427.3
0,2177.75
0,15568.0
0,927.91
0,2497.82
0,6697.46
0,1298.57
0,3283.0
0,1427.46
0,1930.4
0,880.21
0,1081.31
0,651.98
0,1276.63
0,1386.8
0,2296.65
0,624.0
0,2915.36
0,1599.0
0,763.82
0,1129.0
0,2364.61
0,1874.01
0,2785.88
0,4536.75
0,4591.97
0,2525.81
0,4678.0
0,994.69
0,721.83
0,3755.35
0,1032.26
0,4294.48
0,2346.91
0,3991.6
0,1572.85
0,2161.98
0,1462.9
0,2431.02
0,48.0
0,921.13
0,995.45
0,1550.89
0,1465.29
0,1622.58
0,2395.6
0,1919.44
0,2394.3
0,5200.08
0,2567.7
0,2321.2
0,2956.62
0,3013.68
0,1951.45
0,720.0
0,811.79
0,1335.59
0,1077.26
0,2777.0
0,778.85
0,1570.38
0,8072.03
0,8230.37
0,3076.36
0,1411.33
0,1130.62
0,1620.76
0,902.27
0,503.0
0,2315.93
0,1919.42
0,3145.77
0,1728.17
0,532.98
1,1253.01
0,3341.12
0,735.49
0,7629.37
0,220.0
0,722.0
0,1154.34
0,1757.0
0,2064.68
0,2662.72
0,1156.82
0,1903.13
0,5988.29
0,2209.34
0,1460.08
0,721.0
0,1450.37
0,648.53
0,4219.19
0,1056.89
0,1010.79
0,1082.52
0,1979.4
0,1393.16
0,1957.75
0,836.3
0,1146.24
0,4123.25
0,875.23
0,1024.6
0,3389.3
0,957.08
0,221.0
0,782.72
0,2018.82
0,589.37
0,734.41
0,1020.0
0,807.96
0,3651.0
0,1020.0
0,950.42
0,1259.31
0,1372.29
0,2016.07
0,831.23
0,1338.48
0,1143.86
0,10841.0
0,9284.58
0,1547.94
0,1791.16
0,2777.95
0,2450.33
0,1108.32
0,2663.4
0,2652.19
0,1441.7
0,3162.55
0,2190.76
1,3338.9
0,1673.83
0,4468.11
0,2882.34
0,263.0
0,9729.83
0,3054.45
0,1055.0
0,1415.22
0,1467.68
0,8855.69
0,663.15
0,1415.14
0,1369.75
0,1368.31
0,1491.97
0,7438.0
0,2421.72
0,15336.0
0,846.54
0,763.37
0,1637.0
0,1508.39
0,3388.29
0,792.66
0,1928.23
0,1351.26
0,1266.08
0,1023.34
0,1279.54
0,2313.81
0,2996.53
0,1940.0
0,1263.18
0,2423.62
0,1233.14
0,1659.55
0,1246.74
0,1901.76
0,2055.98
0,2072.3
0,2111.45
0,1563.13
0,1564.92
0,1308.04
0,4938.96
0,634.73
0,6172.95
0,1362.04
0,1135.32
0,926.54
0,1456.48
0,2793.08
0,2662.02
0,2634.46
0,2481.46
0,2471.43
0,1066.6
0,1241.34
0,2520.45
0,749.66
0,1256.17
0,1308.14
0,1189.09
0,1156.99
0,2330.52
0,1541.8
0,2132.85
0,2349.27
0,590.04
0,1087.0
